vendor_id,vendor_name,vendor_type,primary_contact,contact_email,support_phone
VEN0001,NovaCore Systems,Software Publisher,Emma Carter,emma.carter@novacore.com,800-555-1001
VEN0002,CloudAxis Technologies,Cloud Provider,Marcus Reed,marcus.reed@cloudaxis.com,800-555-1002
VEN0003,CipherBridge Security,Security Vendor,Sophia Nguyen,sophia.nguyen@cipherbridge.com,800-555-1003
VEN0004,VertexPoint Solutions,Managed Service Provider,Liam Patel,liam.patel@vertexpoint.com,800-555-1004
VEN0005,BluePeak Consulting,Consulting Partner,Olivia Brooks,olivia.brooks@bluepeak.com,800-555-1005
VEN0006,QuantumWorks Software,Software Publisher,Noah Diaz,noah.diaz@quantumworks.com,800-555-1006
VEN0007,SummitForge Cloud,Cloud Provider,Ava Morgan,ava.morgan@summitforge.com,800-555-1007
VEN0008,IronGate Cyber,Security Vendor,Ethan Walker,ethan.walker@irongate.com,800-555-1008
VEN0009,BrightPath Services,Managed Service Provider,Isabella Ross,isabella.ross@brightpath.com,800-555-1009
VEN0010,Everstream Digital,Software Publisher,Mason Turner,mason.turner@everstream.com,800-555-1010
